yr_m,port,in_jp,in_fr,in_tr,em_jp,em_fr,em_tr
2007-03-01,花咲,0,0,0,0,0,0
2007-03-01,紋別,0,0,0,0,0,0
2007-03-01,函　　 館(空港),604,3990,0,561,5134,0
2007-03-01,釧　　 路(空港),6,1115,0,0,1339,0
2007-03-01,帯　　 広(空港),1,1283,0,5,1285,0
2007-03-01,石狩湾,0,0,0,2,0,0
2007-03-01,女 満 別(空港),220,676,0,223,545,0
2007-03-01,旭　　 川(空港),400,2636,0,359,2629,0
2007-03-01,中標津（空港）,150,0,0,150,0,0
2007-03-01,青森,0,0,0,0,0,0
2007-03-01,八戸,0,0,0,0,0,0
2007-03-01,釜石,0,0,0,0,0,0
2007-03-01,仙台塩釜,0,0,0,0,3,0
2007-03-01,小名浜,0,0,0,0,0,0
2007-03-01,酒田,0,0,0,0,0,0
2007-03-01,秋田船川,0,0,0,0,0,0
2007-03-01,宮古,0,0,0,0,0,0
2007-03-01,大船渡,0,0,0,0,0,0
2007-03-01,石巻,0,0,0,0,0,0
2007-03-01,三　　 沢(空港),9,5,0,9,2,0
2007-03-01,八　　 戸（空港）,0,0,0,0,0,0
2007-03-01,仙　　 台(空港),8357,5912,2,8414,5376,2
2007-03-01,秋　　 田(空港),406,685,0,475,550,0
2007-03-01,山　　 形(空港),0,0,0,0,0,0
2007-03-01,花　　 巻(空港),119,104,0,119,0,0
2007-03-01,青　　 森(空港),454,1230,20,417,1303,25
2007-03-01,庄　　 内(空港),110,80,0,110,80,0
2007-03-01,福　　 島(空港),1219,1772,0,1298,1759,0
2007-03-01,東京,164,152,0,27,3,0
2007-03-01,千葉,6,9,0,0,9,0
2007-03-01,新潟,0,2,0,2,1,0
2007-03-01,直江津,0,0,0,0,0,0
2007-03-01,横　　 田(空港),15,329,0,22,315,0
2007-03-01,鹿島,1,0,0,0,2,0
2007-03-01,木更津,0,0,0,0,1,0
2007-03-01,二見,0,0,0,2,0,0
2007-03-01,柏崎,0,0,0,0,0,0
2007-03-01,日立,0,0,0,0,0,0
2007-03-01,新　　 潟(空港),7200,3472,0,7247,3541,0
2007-03-01,羽　　 田(空港),37538,33669,91,37735,33738,48
2007-03-01,成　　 田(空港),907467,383872,6848,857230,351507,7002
2007-03-01,横浜,1643,1938,0,10,1874,6
2007-03-01,横須賀,0,0,0,0,7,0
2007-03-01,川崎,1,3,0,2,2,0
2007-03-01,厚　　 木(空港),1,4,0,0,10,0
2007-03-01,入　　 間(空港),0,0,0,0,0,0
2007-03-01,硫黄島（空港）,17,277,0,17,277,0
2007-03-01,松　　 本(空港),0,0,0,0,0,0
2007-03-01,清水,162,2,0,0,4,0
2007-03-01,田子の浦,0,0,0,0,0,0
2007-03-01,焼津,0,0,0,0,0,0
2007-03-01,浜　　 松(空港),0,0,0,0,0,0
2007-03-01,中　　 部（空港）,190979,48702,54,185438,41485,167
2007-03-01,名古屋,0,3,0,3,7,0
2007-03-01,四日市,1,0,0,1,3,0
2007-03-01,敦賀,0,6,0,0,0,0
2007-03-01,七尾,0,0,0,0,1,0
2007-03-01,名 古 屋(空港),138,32,0,133,28,0
2007-03-01,衣浦,0,0,0,0,2,0
2007-03-01,金沢,0,0,0,0,0,0
2007-03-01,小　　 松(空港),2503,1415,0,2518,1316,0
2007-03-01,富　　 山(空港),3352,1581,0,3295,1120,0
2007-03-01,福井（新）,0,2,0,0,2,0
2007-03-01,伊勢湾シーバース,0,0,0,0,0,0
2007-03-01,福　　 井(空港),0,0,0,0,0,0
2007-03-01,能　　 登(空港),146,155,0,146,155,0
2007-03-01,三河,0,1,0,0,4,0
2007-03-01,伏木富山,4,663,0,9,731,0
2007-03-01,関　　 西(空港),355227,140248,1198,340634,116931,1357
2007-03-01,大阪,697,7131,0,765,6544,0
2007-03-01,舞鶴,0,16,0,0,20,0
2007-03-01,堺,0,3,0,1,3,0
2007-03-01,有田,0,0,0,0,0,0
2007-03-01,白　　 浜(空港),0,0,0,0,0,0
2007-03-01,和歌山下津,0,0,0,0,0,0
2007-03-01,神戸,325,388,0,322,895,0
2007-03-01,姫路,0,1,0,0,0,0
2007-03-01,東播磨,0,0,0,0,1,0
2007-03-01,但　　 馬(空港),0,0,0,0,0,0
2007-03-01,尼崎西宮芦屋,0,0,0,0,0,0
2007-03-01,坂出,0,0,0,1,3,0
2007-03-01,新居浜,0,0,0,0,7,0
2007-03-01,松山,0,0,0,0,0,0
2007-03-01,徳島小松島,0,0,0,0,0,0
2007-03-01,高知,0,0,0,0,0,0
2007-03-01,今治,0,0,0,0,3,0
2007-03-01,高松,0,0,0,0,0,0
2007-03-01,大西,0,0,0,0,5,0
2007-03-01,須崎,0,0,0,0,0,0
2007-03-01,波方,0,0,0,0,0,0
2007-03-01,直島,0,0,0,0,1,0
2007-03-01,松　　 山(空港),1856,1105,3,1980,1094,0
2007-03-01,高　　 知(空港),359,0,0,359,0,0
2007-03-01,徳　　 島(空港),109,0,0,109,0,0
2007-03-01,高　　 松(空港),1404,1495,0,1413,1064,0
2007-03-01,広島,3,657,0,0,336,0
2007-03-01,尾道糸崎,0,0,0,0,4,0
2007-03-01,呉,16,0,0,16,4,0
2007-03-01,宇野,0,0,0,0,1,0
2007-03-01,土生,0,0,0,0,0,0
2007-03-01,水島,0,0,0,2,2,0
2007-03-01,浜田,0,3,0,0,8,0
2007-03-01,境,6,150,0,3,85,0
2007-03-01,福山,0,0,0,2,0,0
2007-03-01,常石,0,0,0,0,0,0
2007-03-01,瀬戸田,0,0,0,0,9,0
2007-03-01,安芸津,0,0,0,0,0,0
2007-03-01,能地,0,0,0,0,1,0
2007-03-01,米　　 子(空港),815,659,0,779,607,0
2007-03-01,出　　 雲(空港),0,0,0,0,0,0
2007-03-01,岡　　 山(空港),6506,1743,0,6603,1383,0
2007-03-01,鳥　　 取(空港),0,0,0,0,0,0
2007-03-01,石　　 見(空港),0,0,0,0,0,0
2007-03-01,広　　 島(空港),12485,4725,31,12568,3468,55
2007-03-01,関　　 門(下関),1860,8248,0,2150,7815,0
2007-03-01,宇部,0,0,0,0,0,0
2007-03-01,徳山下松,0,1,0,4,4,0
2007-03-01,萩,3,84,0,6,150,0
2007-03-01,岩　　 国(空港),0,1,0,0,2,0
2007-03-01,山口宇部(空港),190,0,0,190,0,0
2007-03-01,福　　 岡(空港),65430,39111,307,63311,36963,356
2007-03-01,博多,13798,21744,1,13722,21965,27
2007-03-01,三池,0,0,0,0,0,0
2007-03-01,唐津,0,0,0,0,0,0
2007-03-01,長崎,0,0,0,721,663,0
2007-03-01,佐世保,0,47,0,0,26,0
2007-03-01,厳原,27,2195,0,28,1259,0
2007-03-01,三角,0,0,0,0,0,0
2007-03-01,比田勝,30,1549,0,37,2231,0
2007-03-01,佐伯,0,0,0,0,0,0
2007-03-01,佐賀関,0,0,0,0,0,0
2007-03-01,大分,0,0,0,2,14,0
2007-03-01,水俣,0,0,0,0,0,0
2007-03-01,八代,0,0,0,0,0,0
2007-03-01,伊万里,0,0,0,0,0,0
2007-03-01,別府,0,0,0,0,0,0
2007-03-01,臼杵,0,0,0,1,2,0
2007-03-01,熊　　 本(空港),790,1402,9,863,1549,0
2007-03-01,長洲,0,0,0,0,0,0
2007-03-01,長　　 崎(空港),1123,1701,0,1250,1073,10
2007-03-01,大　　 分(空港),583,1492,0,603,1026,0
2007-03-01,福　　 江(空港),0,0,0,0,0,0
2007-03-01,関　　 門(門司),2,1,0,7,7,0
2007-03-01,関　　 門(戸畑),0,0,0,1,0,0
2007-03-01,北 九 州(空港),921,762,0,895,655,0
2007-03-01,佐護,0,0,0,0,0,0
2007-03-01,鹿児島,2,652,0,0,0,0
2007-03-01,鹿 児 島(空港),2023,2023,0,1714,1985,0
2007-03-01,名瀬,0,0,0,0,0,0
2007-03-01,細島,0,0,0,0,0,0
2007-03-01,志布志,0,0,0,0,0,0
2007-03-01,喜入,0,1,0,1,1,0
2007-03-01,宮　　 崎(空港),1227,2478,0,1270,2625,0
2007-03-01,川内,0,0,0,0,0,0
2007-03-01,佐　　 賀(空港),0,0,0,0,0,0
2007-03-01,那覇,52,426,0,6,387,3
2007-03-01,那　　 覇(空港),4766,5287,766,5016,4500,795
2007-03-01,嘉 手 納(空港),10,78,0,5,56,0
2007-03-01,平良,0,0,0,0,0,0
2007-03-01,石垣,0,0,0,74,701,0
2007-03-01,普 天 間(空港),0,0,0,0,5,0
2007-03-01,石　　 垣(空港),0,0,0,0,0,0
2007-03-01,本部,0,0,0,0,0,0
2007-03-01,金武中城,4,0,0,0,0,0
2007-03-01,その他,129,3,0,131,15,0
2007-04-01,釧路,0,0,0,22,0,0
2007-04-01,稚内,0,1,0,0,2,0
2007-04-01,根室,0,0,0,0,0,0
2007-04-01,小樽,0,201,0,4,217,0
2007-04-01,室蘭,0,0,0,1,0,0
2007-04-01,函館,0,0,0,0,3,0
2007-04-01,留萌,0,0,0,0,0,0
2007-04-01,苫小牧,0,1,0,0,0,0
2007-04-01,新 千 歳(空港),7552,17941,8,7974,17439,0
2007-04-01,網走,0,0,0,1,0,0
2007-04-01,花咲,0,6,0,0,6,0
